Iteration,Cost,Sequence
158,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
159,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
160,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
161,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
162,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
163,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
164,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
165,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
166,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
167,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
168,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
169,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
170,95,3 6 4 10 1 15 17 14 2 13 5 9 12 16 11 8 7
171,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
172,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
173,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
174,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
175,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
176,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
177,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
178,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
179,93,3 6 4 10 1 15 17 2 14 13 5 9 12 16 11 8 7
180,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
181,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
182,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
183,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
184,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
185,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
186,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
187,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
188,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
189,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
190,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
191,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
192,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
193,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
194,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
195,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
196,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
197,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
198,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
199,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
200,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
201,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
202,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
203,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
204,93,3 6 13 10 1 15 17 2 14 4 5 9 12 16 11 8 7
205,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
206,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
207,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
208,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
209,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
210,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
211,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
212,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
213,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
214,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
215,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
216,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
217,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
218,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
219,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
220,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
221,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
222,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
223,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
224,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
225,89,3 6 5 10 1 15 17 2 14 4 13 9 12 16 11 8 7
226,81,3 6 5 10 1 15 17 2 14 4 13 16 12 9 11 8 7
227,81,3 6 5 10 1 15 17 2 14 4 13 16 12 9 11 8 7
228,81,3 6 5 10 1 15 17 2 14 4 13 16 12 9 11 8 7
229,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
230,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
231,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
232,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
233,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
234,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
235,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
236,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
237,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
238,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
239,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
240,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
241,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
242,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
243,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
244,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
245,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
246,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
247,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
248,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
249,81,3 6 5 10 1 15 17 2 14 4 13 16 9 12 11 8 7
